A_s_1e9,n_s,Omega_m,Omega_b,h,mu_0,k_analyze,k_c
1.9139181519156339,0.9887870597262842,0.1983293884769496,0.02518745907020032,0.6265765013207416,-0.2359956377788639,0.3981522817598324,[0.1]
2.2884728187504266,0.6438751123066342,0.2715327609132355,0.034167494345916365,0.7843199405113028,0.23359832072123476,0.22194225036643978,[0.1]
2.1205068410538823,0.7536700100072611,0.2597505037404666,0.047846445697107234,0.3681640009950581,-0.21225621416382495,0.3329301450471235,[0.5]
2.232769230744426,0.9785575925594578,0.40872003239051147,0.04712505026231552,0.9689859368224656,-0.38448252296381336,0.7043492789824798,[0.5]
1.5944932451747489,0.6241573635591338,0.2824571177505678,0.04658922669806721,0.624627961740655,0.3989055256082825,0.7063462447788623,[0.5]
1.8146214235084634,0.7699045510601641,0.28118108364100947,0.06019415874106794,0.7877312426474001,0.13955548628239978,0.890571885774597,[0.1]
1.932545799232821,0.8123120355569704,0.4136281837723873,0.0722719061753589,0.983644252346066,-0.31430292840174023,0.8376465457306412,[0.1]
2.3999274830316675,0.6196897712569631,0.43520652932769505,0.05074987262149415,0.5141358179538416,0.3600400743477745,0.6565055650418726,[0.5]
2.1949350651933592,0.8612797486677178,0.256437006884665,0.033172645820444144,0.9208721568522711,-0.054405274763978495,0.4623411818627115,[0.1]
2.3025279811422643,0.7771701807359488,0.3045824983094241,0.06277394067822005,0.9447682257956529,0.009200245174738164,0.0722855023305124,[0.5]
2.1900621135577345,1.3639441481065642,0.3572920539224919,0.06382803937977415,0.9857254161267649,0.42941327582141053,0.9976621725799291,[0.5]
2.150794253368336,0.8035810094034983,0.3807160808497846,0.03386508134965415,0.8343294298303698,0.3429568179954876,0.6468089331954217,[0.1]
2.3682925617993886,1.0844173271054864,0.3473866451619675,0.052197946869645864,0.8667231416637403,0.11733838135401797,0.03421970768136246,[0.1]
2.3125366934863854,1.2197981498165347,0.2670683576902119,0.05542517554946147,0.5081985600000092,0.23146339969021723,0.9229909128385426,[0.1]
1.5396640390113587,0.9628792408560435,0.23820363143808304,0.030303718949910227,0.4886374612259142,0.01924669587516381,0.7677477895594856,[0.1]
2.35003278450106,1.1224593604610713,0.2155055111248201,0.05906109783822261,0.603705907855256,-0.035162083785704734,0.22948048583231725,[0.1]
1.7695937722647082,0.9872981695530453,0.38865619988947375,0.04463361690165555,0.4540266435329978,0.4226219762023997,0.8414218829005793,[0.5]
1.6352590939514515,1.0765619406662088,0.326625609268117,0.0339790776642933,0.577620629378527,0.4540703037899193,0.8456084493523628,[0.5]
2.0400796744831626,1.3447243456020614,0.3435293484218876,0.06797294744890911,0.9482053944739577,0.09915850980073615,0.25211251629703135,[0.1]
2.0336460684981414,1.1516326904597844,0.3690858851654487,0.04518074554665144,0.8425569106604216,-0.0175063408551131,0.9786426440743039,[0.5]
1.6870309614745844,1.254747390901922,0.1754926716977806,0.07172506339427,0.9535477831778002,0.20063455713186407,0.049729778129098595,[0.5]
