A_s_1e9,n_s,Omega_m,Omega_b,h,mu_0,k_analyze,k_c
1.6993452628526744,0.4867460434472446,0.10509590421365736,0.03139966874545212,0.33863734066896245,-0.04845637778863887,0.03197573385425595,[0.5]
1.345382513139741,0.3956129917371934,0.166018417118455,0.016099944870134778,0.2682285180581781,-0.3135167927876527,0.04849081269828866,[0.5]
1.4752547225313275,0.30709171925418044,0.17527003142267322,0.019411545821694177,0.30299433290706235,-0.4890621416382498,0.018493174610057582,[0.1]
1.448953833785056,0.3515232733390507,0.11350028069770703,0.023500382767949975,0.26866289049070885,-0.11482522963813391,0.020852461664688314,[0.1]
1.4903459590962889,0.4992557023763248,0.1711474671180484,0.018953794738838486,0.31010282934582567,-0.0009447439171744731,0.04428263726956766,[0.1]
1.6661714276860544,0.4765356275203705,0.17934057266936276,0.016533241405943106,0.2791216744641072,-0.14544513717600238,0.014310913376384817,[0.1]
1.5879664148353898,0.39283347755809217,0.12202129198751005,0.029955211941588962,0.4044246939494083,-0.13552928401740255,0.023346554795742,[0.1]
1.6138198913901105,0.47524073662170974,0.11107693743427595,0.023358959051865278,0.3347190845823844,-0.06359925652225462,0.049436368773186266,[0.1]
1.523480527145065,0.40106560692135845,0.16878005097062188,0.032241157017143834,0.36672697100888096,-0.3895527476397851,0.015534835326707776,[0.1]
1.5822238687418069,0.3794090890890407,0.12875001233715588,0.028511494790221435,0.4214759470888334,-0.4509975482526177,0.016442041885494207,[0.5]
1.502496909057186,0.35790052393069177,0.17644707141324653,0.0190442838603128,0.4071170594652218,-0.15336724178589434,0.019651553845633944,[0.1]
1.5023540275079315,0.3512542058425255,0.15410725990351465,0.02382064094376868,0.3781970510978668,-0.0424318200451228,0.018280751789790693,[0.5]
1.6495405300483392,0.46940547606081123,0.1455110086127109,0.0297635518581819,0.30590399908310023,-0.15911618645981962,0.03300792403906666,[0.5]
1.3102935026615403,0.45649221571174176,0.1650557271766245,0.019721379212873192,0.40679188851223697,-0.1888660030978283,0.04825542399152924,[0.5]
1.5137123153601393,0.40859680710215046,0.11062420654819347,0.015649744475735704,0.3774141715613637,-0.40253304124836203,0.01096634706369854,[0.1]
1.6814623192724563,0.35391394896101813,0.14440339594369983,0.030108754690172303,0.36214822039681055,-0.45362083785704715,0.048684474178990814,[0.1]
1.3467501415800611,0.46814233574746333,0.15124138994719102,0.018288917781167358,0.2826380558994376,-0.2227802379760031,0.01602846279315868,[0.1]
1.479672746765218,0.44187470217205393,0.1641040946810718,0.026752611313810695,0.4004894687280239,-0.2922969621008066,0.02808606772389645,[0.1]
1.5014373962080025,0.30041802010368124,0.10689569490401314,0.03450354510318202,0.3157169192754919,-0.23591490199263904,0.045799600793866836,[0.5]
1.3587685143129316,0.4304694812290748,0.11407261678995446,0.01840594654718183,0.3652112328474866,-0.08806340855113065,0.037325408033896064,[0.1]
1.616247719512285,0.3429140545508168,0.12065111684315837,0.027340470142454137,0.30144485869602694,-0.2161544286813596,0.022149206033506622,[0.5]
1.3884474505347109,0.3056978702802014,0.14346557256470738,0.017340101265455307,0.26273681053175335,-0.11859135618946326,0.03396479531597549,[0.1]
1.4521328328253522,0.48760831801224624,0.1709074310889977,0.028005034403972652,0.2660278587627556,-0.42212357337016104,0.029194349485179384,[0.1]
1.690914198102819,0.3435665987384014,0.11926044604980862,0.016761794510020366,0.44568770818259296,-0.30978916795746314,0.025312234243311832,[0.5]
1.5129906292062487,0.36858222070506125,0.10870180735047046,0.02140857160947201,0.29619871546980897,-0.0433863246006127,0.01668086899859991,[0.5]
